trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
timestamp: 1354635701, sequence: 103644, offset:  487259339
timestamp: 1354635702, sequence: 103645, offset:  487253671
timestamp: 1354635703, sequence: 103646, offset:  487247003
timestamp: 1354635704, sequence: 103647, offset:  487241336
timestamp: 1354635705, sequence: 103648, offset:  487234669
timestamp: 1354635706, sequence: 103649, offset:  487229003
timestamp: 1354635707, sequence: 103650, offset:  487222336
timestamp: 1354635708, sequence: 103651, offset:  487215668
timestamp: 1354635709, sequence: 103652, offset:  487210001
timestamp: 1354635710, sequence: 103653, offset:  487204335
timestamp: 1354635711, sequence: 103654, offset:  487199667
timestamp: 1354635712, sequence: 103655, offset:  487191001
timestamp: 1354635713, sequence: 103656, offset:  487183334
timestamp: 1354635714, sequence: 103657, offset:  487177667
timestamp: 1354635715, sequence: 103658, offset:  487172000
timestamp: 1354635716, sequence: 103659, offset:  487165333
timestamp: 1354635717, sequence: 103660, offset:  487158666
timestamp: 1354635718, sequence: 103661, offset:  487152000
timestamp: 1354635719, sequence: 103662, offset:  487145334
timestamp: 1354635720, sequence: 103663, offset:  487139666
timestamp: 1354635721, sequence: 103664, offset:  487132999
timestamp: 1354635722, sequence: 103665, offset:  487127334
timestamp: 1354635723, sequence: 103666, offset:  487121667
timestamp: 1354635724, sequence: 103667, offset:  487115000
timestamp: 1354635725, sequence: 103668, offset:  487108334
timestamp: 1354635726, sequence: 103669, offset:  487106668
timestamp: 1354635727, sequence: 103670, offset:  487095001
timestamp: 1354635728, sequence: 103671, offset:  487089334
timestamp: 1354635729, sequence: 103672, offset:  487082668
timestamp: 1354635730, sequence: 103673, offset:  487076002
timestamp: 1354635731, sequence: 103674, offset:  487069335
timestamp: 1354635732, sequence: 103675, offset:  487063669
timestamp: 1354635733, sequence: 103676, offset:  487057003
timestamp: 1354635734, sequence: 103677, offset:  487051336
timestamp: 1354635735, sequence: 103678, offset:  487044669
timestamp: 1354635736, sequence: 103679, offset:  487038004
timestamp: 1354635737, sequence: 103680, offset:  487032337
timestamp: 1354635738, sequence: 103681, offset:  487026671
timestamp: 1354635739, sequence: 103682, offset:  487020005
timestamp: 1354635740, sequence: 103683, offset:  487013340
timestamp: 1354635741, sequence: 103684, offset:  487006673
timestamp: 1354635742, sequence: 103685, offset:  487001007
timestamp: 1354635743, sequence: 103686, offset:  486994341
timestamp: 1354635744, sequence: 103687, offset:  486987675
timestamp: 1354635745, sequence: 103688, offset:  486981009
timestamp: 1354635746, sequence: 103689, offset:  486975342
timestamp: 1354635747, sequence: 103690, offset:  486968676
timestamp: 1354635748, sequence: 103691, offset:  486963010
timestamp: 1354635749, sequence: 103692, offset:  486956346
timestamp: 1354635750, sequence: 103693, offset:  486949679
timestamp: 1354635751, sequence: 103694, offset:  486944013
timestamp: 1354635752, sequence: 103695, offset:  486938347
timestamp: 1354635753, sequence: 103696, offset:  486931681
timestamp: 1354635754, sequence: 103697, offset:  486925017
timestamp: 1354635755, sequence: 103698, offset:  486918349
timestamp: 1354635756, sequence: 103699, offset:  486917685
timestamp: 1354635757, sequence: 103700, offset:  486906019
timestamp: 1354635758, sequence: 103701, offset:  486899354
timestamp: 1354635759, sequence: 103702, offset:  486894688
timestamp: 1354635760, sequence: 103703, offset:  486887022
timestamp: 1354635761, sequence: 103704, offset:  486881357
timestamp: 1354635762, sequence: 103705, offset:  486873691
timestamp: 1354635763, sequence: 103706, offset:  486868025
timestamp: 1354635764, sequence: 103707, offset:  486861360
timestamp: 1354635765, sequence: 103708, offset:  486854694
timestamp: 1354635766, sequence: 103709, offset:  486849029
timestamp: 1354635767, sequence: 103710, offset:  486843364
timestamp: 1354635768, sequence: 103711, offset:  486837697
timestamp: 1354635769, sequence: 103712, offset:  486831033
timestamp: 1354635770, sequence: 103713, offset:  486824368
timestamp: 1354635771, sequence: 103714, offset:  486816701
timestamp: 1354635772, sequence: 103715, offset:  486811037
timestamp: 1354635773, sequence: 103716, offset:  486804372
timestamp: 1354635774, sequence: 103717, offset:  486798706
timestamp: 1354635775, sequence: 103718, offset:  486792040
timestamp: 1354635776, sequence: 103719, offset:  486786375
timestamp: 1354635777, sequence: 103720, offset:  486779710
timestamp: 1354635778, sequence: 103721, offset:  486773045
timestamp: 1354635779, sequence: 103722, offset:  486766380
timestamp: 1354635780, sequence: 103723, offset:  486762715
timestamp: 1354635781, sequence: 103724, offset:  486755050
timestamp: 1354635782, sequence: 103725, offset:  486748385
timestamp: 1354635783, sequence: 103726, offset:  486742720
timestamp: 1354635784, sequence: 103727, offset:  486740055
timestamp: 1354635785, sequence: 103728, offset:  486734390
timestamp: 1354635786, sequence: 103729, offset:  486727727
timestamp: 1354635787, sequence: 103730, offset:  486717060
timestamp: 1354635788, sequence: 103731, offset:  486711395
timestamp: 1354635789, sequence: 103732, offset:  486703731
timestamp: 1354635790, sequence: 103733, offset:  486698066
timestamp: 1354635791, sequence: 103734, offset:  486691400
timestamp: 1354635792, sequence: 103735, offset:  486685736
